title,artist
Mirrors - Radio Edit,Justin Timberlake
Next To Me,Emeli Sandé
Made In The USA,Demi Lovato
Clown,Emeli Sandé
Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys
TKO,Justin Timberlake
Come & Get It,Selena Gomez
Live It Up,Jennifer Lopez
We Own The Night,The Wanted
Atlas - From “The Hunger Games: Catching Fire” Soundtrack,Coldplay
What About Love,Austin Mahone
Take Back the Night,Justin Timberlake
Applause,Lady Gaga
Anything Could Happen,Ellie Goulding
Finally Found You,Enrique Iglesias
Pom Poms,Jonas Brothers
#Beautiful,Mariah Carey
How Ya Doin'? (feat. Missy Elliott),Little Mix
Crazy Kids (feat. will.i.am),Kesha
"Ooh La La (from ""The Smurfs 2"")",Britney Spears
People Like Us,Kelly Clarkson
Overdose,Ciara
Right Now - Dyro Radio Edit,Rihanna
Give It 2 U,Robin Thicke
Foolish Games,Jewel
Outta Nowhere (feat. Danny Mercer),Pitbull
Freak,Kelly Rowland
All of Me,John Legend
Stay With Me,Sam Smith
Summer,Calvin Harris
"Happy - From ""Despicable Me 2""",Pharrell Williams
Rude,MAGIC!
Shake It Off,Taylor Swift
Dark Horse,Katy Perry
Hey Brother,Avicii
Maps,Maroon 5
Treasure,Bruno Mars
Let Her Go,Passenger
Problem,Ariana Grande
Pompeii,Bastille
Team,Lorde
Love Me Again,John Newman
Latch,Disclosure
Adore You,Miley Cyrus
Love Never Felt So Good,Michael Jackson
Burn,Ellie Goulding
She Looks So Perfect,5 Seconds of Summer
Fancy,Iggy Azalea
Talk Dirty (feat. 2 Chainz),Jason Derulo
Gorilla,Bruno Mars
human,Christina Perri
Young Girls,Bruno Mars
Wiggle (feat. Snoop Dogg),Jason Derulo
Love Runs Out,OneRepublic
This Is How We Do,Katy Perry
Mmm Yeah (feat. Pitbull),Austin Mahone
A Little Party Never Killed Nobody (All We Got),Fergie
#SELFIE,The Chainsmokers
Partition,Beyoncé
Birthday,Katy Perry
G.U.Y.,Lady Gaga
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd
"Let It Go - From ""Frozen / Single Version",Demi Lovato
Wings,Birdy
Can't Remember to Forget You (feat. Rihanna),Shakira
Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta
Say Something,A Great Big World
A Sky Full of Stars,Coldplay
Come Get It Bae,Pharrell Williams
Chandelier,Sia
XO,Beyoncé
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull
Not About Angels,Birdy
Drunk in Love,Beyoncé
Anaconda,Nicki Minaj
Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,Charli XCX
La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira
Tee Shirt - Soundtrack Version,Birdy
Words as Weapons,Birdy
You're Mine (Eternal),Mariah Carey
Sheezus,Lily Allen
Cannonball,Lea Michele
It's On Again - Main Soundtrack,Alicia Keys
I Luh Ya Papi,Jennifer Lopez
Not a Bad Thing,Justin Timberlake
Thinking out Loud,Ed Sheeran
I'm Not The Only One,Sam Smith
The Hills,The Weeknd
Love Yourself,Justin Bieber
Uptown Funk,Mark Ronson
Take Me To Church,Hozier
Sugar,Maroon 5
Sorry,Justin Bieber
FourFiveSeconds,Rihanna
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd
What Do You Mean?,Justin Bieber
Stitches,Shawn Mendes
Want to Want Me,Jason Derulo
My House,Flo Rida
Waves - Robin Schulz Radio Edit,Mr. Probz
Night Changes,One Direction
How Deep Is Your Love,Calvin Harris
Never Forget You,Zara Larsson
Love Me Harder,Ariana Grande
Animals,Maroon 5
Blame,Calvin Harris
Worth It,Fifth Harmony
Break Free,Ariana Grande
Don't,Ed Sheeran
Elastic Heart,Sia
Rather Be (feat. Jess Glynne),Clean Bandit
Hello,Adele
Dear Future Husband,Meghan Trainor
43776,Beyoncé
The Heart Wants What It Wants,Selena Gomez
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta
Genie In a Bottle,Christina Aguilera
Company,Justin Bieber
Sing,Ed Sheeran
Jealous - Remix,Nick Jonas
Really Don't Care,Demi Lovato
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis
Only Love Can Hurt Like This,Paloma Faith
Heartbeat Song,Kelly Clarkson
Up,Olly Murs
Trumpets,Jason Derulo
Runnin' (Lose It All),Naughty Boy
Same Old Love,Selena Gomez
I Want You To Know,Zedd
Lips Are Movin,Meghan Trainor
I'll Show You,Justin Bieber
Here,Alessia Cara
I Lived,OneRepublic
Fireball (feat. John Ryan),Pitbull
Easy Love,Sigala
The Feeling,Justin Bieber
I Really Like You,Carly Rae Jepsen
BO$$,Fifth Harmony
Sugar,Maroon 5
Focus,Ariana Grande
All About That Bass,Meghan Trainor
On My Mind,Ellie Goulding
Love Me Like You,Little Mix
Broken Arrows,Avicii
Booty,Jennifer Lopez
What Do You Mean? - Acoustic,Justin Bieber
Mark My Words,Justin Bieber
Lay It All on Me,Rudimental
American Oxygen,Rihanna
Bang Bang,Jessie J
Reality - Radio Edit,Lost Frequencies
Alive,Sia
Sugar (feat. Francesco Yates),Robin Schulz
Been You,Justin Bieber
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick
See You Again (feat. Charlie Puth),Wiz Khalifa
Heroes (we could be),Alesso
"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez
Perfect,One Direction
Ghosttown,Madonna
Bang My Head (feat. Sia & Fetty Wap),David Guetta
Bloodstream,Ed Sheeran
Living For Love,Madonna
Baby Don't Lie,Gwen Stefani
Don't Be so Hard on Yourself,Jess Glynne
Steal My Girl,One Direction
"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull
We Are Here,Alicia Keys
St Jude,Florence + The Machine
Yesterday (feat. Bebe Rexha),David Guetta
Time of Our Lives,Pitbull
Sparks,Hilary Duff
Mr. Put It Down,Ricky Martin
Legendary Lovers,Katy Perry
Spark The Fire,Gwen Stefani
Run Run Run,Kelly Clarkson
Let Me Be Your Lover,Enrique Iglesias
Dangerous,Jennifer Hudson
L.A.LOVE (la la),Fergie
The Hills,The Weeknd
Love Yourself,Justin Bieber
Cake By The Ocean,DNCE
Don't Let Me Down,The Chainsmokers
In the Name of Love,Martin Garrix
Into You,Ariana Grande
This Is What You Came For,Calvin Harris
Million Reasons,Lady Gaga
Needed Me,Rihanna
7 Years,Lukas Graham
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake
Work from Home (feat. Ty Dolla $ign),Fifth Harmony
Scars To Your Beautiful,Alessia Cara
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor
Work,Rihanna
Stitches,Shawn Mendes
"Me, Myself & I",G-Eazy
I Took A Pill In Ibiza - Seeb Remix,Mike Posner
Dangerous Woman,Ariana Grande
Starving,Hailee Steinfeld
Shout Out to My Ex,Little Mix
Electric Love,BØRNS
Confident,Demi Lovato
Too Good,Drake
Roses,The Chainsmokers
Cold Water (feat. Justin Bieber & MØ),Major Lazer
Me Too,Meghan Trainor
Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer
Ain't Your Mama,Jennifer Lopez
Close,Nick Jonas
Toothbrush,DNCE
All We Know,The Chainsmokers
Final Song,MØ
Company,Justin Bieber
Hands To Myself,Selena Gomez
All I Ask,Adele
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk
NO,Meghan Trainor
Kill Em With Kindness,Selena Gomez
Cool Girl,Tove Lo
Runnin' (Lose It All),Naughty Boy
Here,Alessia Cara
Perfect Illusion,Lady Gaga
PILLOWTALK,ZAYN
Out Of The Woods,Taylor Swift
Rise,Katy Perry
Wherever I Go,OneRepublic
Body Say,Demi Lovato
Don't Be A Fool,Shawn Mendes
LIKE I WOULD,ZAYN
Cheap Thrills,Sia
I Got You,Bebe Rexha
Run Away With Me,Carly Rae Jepsen
Cruel (feat. ZAYN),Snakehips
Send My Love (To Your New Lover),Adele
WTF (Where They From),Missy Elliott
Desire,Years & Years
When We Were Young,Adele
I Know What You Did Last Summer,Shawn Mendes
Wish That You Were Here - From “Miss Peregrine’s Home for Peculiar Children” Original Motion Picture,Florence + The Machine
Hurts,Emeli Sandé
Change,Christina Aguilera
